file,bert_score_f1
E:\Research paper\output\chatgpt_policy_drafts\AIr status quo iteration 2 GPT.txt,0.6182065010070801
E:\Research paper\output\chatgpt_policy_drafts\Air Innovation iteration 1 GPT.txt,0.6001859903335571
E:\Research paper\output\chatgpt_policy_drafts\Air innovation iteration 10 GPT.txt,0.5817309021949768
E:\Research paper\output\chatgpt_policy_drafts\Air innovation iteration 2 GPT.txt,0.5892595052719116
E:\Research paper\output\chatgpt_policy_drafts\Air innovation iteration 3 GPT.txt,0.5868446230888367
E:\Research paper\output\chatgpt_policy_drafts\Air innovation iteration 4 GPT.txt,0.585921585559845
E:\Research paper\output\chatgpt_policy_drafts\Air innovation iteration 5 GPT.txt,0.5886732935905457
E:\Research paper\output\chatgpt_policy_drafts\Air innovation iteration 6 GPT.txt,0.5799708366394043
E:\Research paper\output\chatgpt_policy_drafts\Air innovation iteration 7 GPT.txt,0.6064775586128235
E:\Research paper\output\chatgpt_policy_drafts\Air innovation iteration 8 GPT.txt,0.5928594470024109
E:\Research paper\output\chatgpt_policy_drafts\Air innovation iteration 9 GPT.txt,0.5884345769882202
E:\Research paper\output\chatgpt_policy_drafts\Air status quo iteration 1 GPT.txt,0.6087517142295837
E:\Research paper\output\chatgpt_policy_drafts\Air status quo iteration 10 GPT.txt,0.6233373284339905
E:\Research paper\output\chatgpt_policy_drafts\Air status quo iteration 3 GPT.txt,0.6088003516197205
E:\Research paper\output\chatgpt_policy_drafts\Air status quo iteration 4 GPT.txt,0.6189706325531006
E:\Research paper\output\chatgpt_policy_drafts\Air status quo iteration 5 GPT.txt,0.6068488359451294
E:\Research paper\output\chatgpt_policy_drafts\Air status quo iteration 6 GPT.txt,0.6037783622741699
E:\Research paper\output\chatgpt_policy_drafts\Air status quo iteration 7 GPT.txt,0.6200557351112366
E:\Research paper\output\chatgpt_policy_drafts\Air status quo iteration 8 GPT.txt,0.6151151061058044
E:\Research paper\output\chatgpt_policy_drafts\Air status quo iteration 9 GPT.txt,0.6128361821174622
E:\Research paper\output\chatgpt_policy_drafts\Air unconstrained iteration 10 GPT.txt,0.5924224853515625
E:\Research paper\output\chatgpt_policy_drafts\Air unconstrained iteration 2 GPT.txt,0.6065577268600464
E:\Research paper\output\chatgpt_policy_drafts\Air unconstrained iteration 3 GPT.txt,0.5980280637741089
E:\Research paper\output\chatgpt_policy_drafts\Air unconstrained iteration 4 GPT.txt,0.5971941351890564
E:\Research paper\output\chatgpt_policy_drafts\Air unconstrained iteration 5 GPT.txt,0.5925151109695435
E:\Research paper\output\chatgpt_policy_drafts\Air unconstrained iteration 6 GPT.txt,0.5961812138557434
E:\Research paper\output\chatgpt_policy_drafts\Air unconstrained iteration 7 GPT.txt,0.5981000661849976
E:\Research paper\output\chatgpt_policy_drafts\Air unconstrained iteration 8 GPT.txt,0.595137894153595
E:\Research paper\output\chatgpt_policy_drafts\Air unconstrained iteration 9 GPT.txt,0.5969731211662292
E:\Research paper\output\chatgpt_policy_drafts\Air unconstratined iteration 1 GPT.txt,0.5901198983192444
E:\Research paper\output\chatgpt_policy_drafts\DPDP innovatino iteration 5 GPT.txt,0.6405827403068542
E:\Research paper\output\chatgpt_policy_drafts\DPDP innovation iteration 1 GPT.txt,0.6332271695137024
E:\Research paper\output\chatgpt_policy_drafts\DPDP innovation iteration 10 GPT.txt,0.6372519731521606
E:\Research paper\output\chatgpt_policy_drafts\DPDP innovation iteration 2 GPT.txt,0.6366039514541626
E:\Research paper\output\chatgpt_policy_drafts\DPDP innovation iteration 3 GPT.txt,0.6350545883178711
E:\Research paper\output\chatgpt_policy_drafts\DPDP innovation iteration 4 GPT.txt,0.6391685009002686
E:\Research paper\output\chatgpt_policy_drafts\DPDP innovation iteration 6 GPT.txt,0.6344223022460938
E:\Research paper\output\chatgpt_policy_drafts\DPDP innovation iteration 7 GPT.txt,0.6294920444488525
E:\Research paper\output\chatgpt_policy_drafts\DPDP innovation iteration 8 GPT.txt,0.6103017330169678
E:\Research paper\output\chatgpt_policy_drafts\DPDP innovation iteration 9 GPT.txt,0.6396225094795227
E:\Research paper\output\chatgpt_policy_drafts\DPDP status quo iteration 1 GPT.txt,0.684842050075531
E:\Research paper\output\chatgpt_policy_drafts\DPDP status quo iteration 10 GPT.txt,0.6554078459739685
E:\Research paper\output\chatgpt_policy_drafts\DPDP status quo iteration 2 GPT.txt,0.6838193535804749
E:\Research paper\output\chatgpt_policy_drafts\DPDP status quo iteration 3 GPT.txt,0.6489343643188477
