file,filename,model,domain,condition,iteration,corpus_type,is_partial,word_count,file_size_kb,issues,source,jsd_score,tfidf_distance,bert_score_f1,mattr,hedge_density,mean_sent_len,sent_len_var,sent_var_red,Care_Fairness_Score,Authority_Loyalty_Score,Technocratic_Framing_Score,legal_context_risk_authority,legal_context_risk_care,US_Distinctive_Term_Frequency,length_mismatch_warning,GDPR_Mean_Similarity,GDPR_High_Sim_Sentences,mattr.1,hedge_density.1,mean_sent_len.1,sent_len_var.1,sent_var_red.1
E:\Research paper\output\chatgpt_policy_drafts\AIr status quo iteration 2 GPT.txt,AIr status quo iteration 2 GPT.txt,ChatGPT,Air Pollution,Status Quo,2.0,Primary,False,1122,7.68,none,ai_draft,0.6399738978199355,0.4786642558865828,0.6182065010070801,0.7809741550695826,0.4456327985739751,24.6,643.1733333333334,-27.714671533924285,7.957559681697613,47.74535809018568,1.7683465959328026,False,False,123.7842617152962,False,,,,,,,
E:\Research paper\output\chatgpt_policy_drafts\Air Innovation iteration 1 GPT.txt,Air Innovation iteration 1 GPT.txt,ChatGPT,Air Pollution,Innovation,1.0,Primary,False,1020,7.18,none,ai_draft,0.7001986495654835,0.6968955041440038,0.6001859903335571,0.829922822491731,0.2941176470588235,20.612244897959183,120.89046230737192,-86.41329432765022,4.849660523763337,54.31619786614937,0.9699321047526672,False,False,85.35402521823472,False,,,,,,,
E:\Research paper\output\chatgpt_policy_drafts\Air innovation iteration 10 GPT.txt,Air innovation iteration 10 GPT.txt,ChatGPT,Air Pollution,Innovation,10.0,Primary,False,882,6.2,none,ai_draft,0.7017586948330831,0.756904548903357,0.5817309021949768,0.8211855670103093,0.2267573696145124,21.875,152.559375,-82.8540706510621,2.1621621621621623,46.48648648648648,4.324324324324325,False,False,112.43243243243244,True,,,,,,,
E:\Research paper\output\chatgpt_policy_drafts\Air innovation iteration 2 GPT.txt,Air innovation iteration 2 GPT.txt,ChatGPT,Air Pollution,Innovation,2.0,Primary,False,1003,7.29,none,ai_draft,0.70039705229558,0.7304710663761087,0.5892595052719116,0.8383628318584072,0.0997008973080757,15.746031746031743,160.0942302847065,-82.00723907243216,6.679389312977099,45.80152671755725,1.908396946564885,False,False,101.14503816793894,False,,,,,,,
E:\Research paper\output\chatgpt_policy_drafts\Air innovation iteration 3 GPT.txt,Air innovation iteration 3 GPT.txt,ChatGPT,Air Pollution,Innovation,3.0,Primary,False,1031,7.5,none,ai_draft,0.6910280940172306,0.7303286119889663,0.5868446230888367,0.8427192982456141,0.4849660523763337,13.904109589041097,97.62094201538748,-89.02852233910504,10.21355617455896,51.0677808727948,2.785515320334262,False,False,105.84958217270194,False,,,,,,,
E:\Research paper\output\chatgpt_policy_drafts\Air innovation iteration 4 GPT.txt,Air innovation iteration 4 GPT.txt,ChatGPT,Air Pollution,Innovation,4.0,Primary,False,934,6.46,none,ai_draft,0.6945707657524998,0.7153455351667961,0.585921585559845,0.8475517661388551,0.2141327623126338,18.83673469387756,89.60599750104124,-89.92931045768928,10.141987829614605,40.56795131845842,1.0141987829614605,False,False,103.44827586206895,False,,,,,,,
E:\Research paper\output\chatgpt_policy_drafts\Air innovation iteration 5 GPT.txt,Air innovation iteration 5 GPT.txt,ChatGPT,Air Pollution,Innovation,5.0,Primary,False,1137,8.03,none,ai_draft,0.6924143086064695,0.7367001296619533,0.5886732935905457,0.8353451676528599,0.1759014951627089,19.771929824561404,218.0006155740228,-75.49922348163025,4.11522633744856,46.09053497942387,1.646090534979424,False,False,93.00411522633745,False,,,,,,,
E:\Research paper\output\chatgpt_policy_drafts\Air innovation iteration 6 GPT.txt,Air innovation iteration 6 GPT.txt,ChatGPT,Air Pollution,Innovation,6.0,Primary,False,975,7.02,none,ai_draft,0.7074370833816132,0.6945050097251315,0.5799708366394043,0.8281463990554899,0.4102564102564102,16.271186440677965,89.89255960930767,-89.8971041533411,4.752851711026616,65.5893536121673,2.8517110266159698,False,False,84.60076045627376,False,,,,,,,
E:\Research paper\output\chatgpt_policy_drafts\Air innovation iteration 7 GPT.txt,Air innovation iteration 7 GPT.txt,ChatGPT,Air Pollution,Innovation,7.0,Primary,False,985,7.02,none,ai_draft,0.6898204611327768,0.7079867449837798,0.6064775586128235,0.8117249154453213,0.3045685279187817,17.944444444444443,486.90432098765416,-45.277521703619335,6.815968841285297,53.554040895813046,2.9211295034079843,False,False,111.97663096397274,False,,,,,,,
E:\Research paper\output\chatgpt_policy_drafts\Air innovation iteration 8 GPT.txt,Air innovation iteration 8 GPT.txt,ChatGPT,Air Pollution,Innovation,8.0,Primary,False,1106,8.27,none,ai_draft,0.6998019201559054,0.7506417768282249,0.5928594470024109,0.8487937743190663,0.4520795660036166,21.529411764705884,87.30795847750868,-90.18758376759628,7.06090026478376,49.42630185348632,2.64783759929391,False,False,109.44395410414828,False,,,,,,,
